shots	 electron_density:reliability	 cbd	 cb	 breakdown_field	 tb	 electron_temperature_max	 pressure_initial	 tcd	 input_power_mean	 breakdown_voltage	 plasma_life	 breakdown_time	 lb	 electron_density_mean	 ust	 plasma_current_decay	 cst	 tst	 plasma	 electron_confinement_time	 chamber_temperature	 breakdown_rate	 loop_voltage_mean	 pressure_request	 electron_confinement_t98	 zeff	 toroidal_field_mean	 chamber_resistance	 pressure	 chamber_inductance	 toroidal_field_max	 tbd	 input_power_plasma_mean	 breakdown_rate_err	 ubd	 plasma_current_mean	 breakdown_probability	 discharge_aborted	 pressure_chamber	 ucd	 electron_density_equilibrium	 ccd	 loop_voltage_max	 ub	 
29253	  nan	  0.0036	  0.0675	  0.17113	  0.005	  43.436	  0.54729	  0.01	  29503	  13.596	  0.01014	  0.011996	  0.0028	  nan	  0	  9.6348e+06	  0.0027	  0.005	  1	  1.0849e-05	  24.2	  nan	  8.2715	  20	  nan	  3	  0.24639	  0.0097	  11.844	  1.2e-06	  0.29541	  0.005	  26901	  nan	  0	  3566.9	  96	  nan	  nan	  600	  2.8594e+18	  0.0135	  30.998	  700	 
29254	  nan	  0.0036	  0.0675	  0.16699	  0.005	  44.132	  0.54939	  0.01	  34453	  13.824	  0.01034	  0.011776	  0.0028	  nan	  0	  7.6424e+06	  0.0027	  0.005	  1	  9.5678e-06	  24.2	  nan	  8.5938	  20	  nan	  3	  0.24524	  0.0097	  11.574	  1.2e-06	  0.29572	  0.005	  32913	  nan	  0	  4009.1	  95	  nan	  nan	  650	  2.7943e+18	  0.0135	  31.569	  700	 
29255	  nan	  0.0036	  0.0675	  0.16224	  0.005	  43.627	  0.5431	  0.01	  41262	  14.502	  0.01022	  0.011705	  0.0028	  nan	  0	  7.0026e+06	  0.0027	  0.005	  1	  7.491e-06	  24.2	  nan	  9.48	  20	  nan	  3	  0.23893	  0.0097	  10.968	  1.2e-06	  0.28993	  0.005	  38236	  nan	  0	  4352.5	  93	  nan	  nan	  700	  2.6481e+18	  0.0135	  31.891	  700	 
29256	  nan	  0.0036	  0.0675	  0.19679	  0.005	  46.04	  0.54939	  0.01	  20712	  12.575	  0.01026	  0.012503	  0.0028	  nan	  0	  1.3943e+07	  0.0027	  0.005	  1	  1.1034e-05	  24.2	  nan	  7.3785	  20	  nan	  3	  0.27531	  0.0097	  9.193	  1.2e-06	  0.32191	  0.005	  17837	  nan	  0	  2807.1	  95	  nan	  nan	  500	  2.2195e+18	  0.0135	  29.334	  800	 
29257	  nan	  0.0036	  0.0675	  0.22286	  0.005	  40.359	  0.5431	  0.01	  18475	  12.132	  0.01038	  0.012409	  0.0028	  nan	  0	  1.1632e+07	  0.0027	  0.005	  1	  1.2326e-05	  24.2	  nan	  8.0231	  20	  nan	  3	  0.31493	  0.0097	  11.053	  1.2e-06	  0.36788	  0.005	  16148	  nan	  0	  2302.8	  96	  nan	  nan	  500	  2.6685e+18	  0.0135	  24.436	  900	 
29258	  nan	  0.0036	  0.0675	  0.23234	  0.005	  29.16	  0.53895	  0.01	  13674	  12.434	  0.00814	  0.012974	  0.0028	  nan	  0	  1.1774e+07	  0.0027	  0.005	  1	  1.253e-05	  24.1	  nan	  8.446	  20	  nan	  3	  0.30524	  0.0097	  10.884	  1.2e-06	  0.36155	  0.005	  12386	  nan	  0	  1619	  96	  nan	  nan	  500	  2.6278e+18	  0.0135	  21.686	  900	 
29259	  nan	  0.0036	  0.0675	  0.22573	  0.005	  45.964	  0.54729	  0.01	  20262	  12.354	  0.0109	  0.012534	  0.0028	  nan	  0	  1.2272e+07	  0.0027	  0.005	  1	  1.0242e-05	  24	  nan	  7.3853	  20	  nan	  3	  0.31792	  0.0097	  8.4811	  1.2e-06	  0.36721	  0.005	  17850	  nan	  0	  2743.6	  95	  nan	  nan	  500	  2.0476e+18	  0.0135	  25.801	  900	 
29260	  nan	  0.0036	  0.0675	  0.21907	  0.005	  40.907	  0.5431	  0.01	  17693	  12.058	  0.01002	  0.012389	  0.0028	  nan	  0	  1.3220e+07	  0.0027	  0.005	  1	  1.2505e-05	  24	  nan	  8.0231	  20	  nan	  3	  0.30794	  0.0097	  11.053	  1.2e-06	  0.36262	  0.005	  15234	  nan	  0	  2205.2	  96	  nan	  nan	  500	  2.6685e+18	  0.0135	  26.014	  900	 
29261	  nan	  0.0036	  0.0675	  0.24844	  0.005	  36.997	  0.54729	  0.01	  17034	  12.676	  0.00954	  0.01265	  0.0028	  nan	  0	  1.1384e+07	  0.0027	  0.005	  1	  1.1584e-05	  23.9	  nan	  8.4796	  20	  nan	  3	  0.33998	  0.0097	  10.884	  1.2e-06	  0.39909	  0.005	  15748	  nan	  0	  2008.8	  96	  nan	  nan	  500	  2.6278e+18	  0.0135	  21.925	  1000	 
29262	  nan	  0.0036	  0.0675	  0.28356	  0.005	  31.641	  0.53688	  0.01	  13509	  12.495	  0.00934	  0.013044	  0.0028	  nan	  0	  9.2326e+06	  0.0027	  0.005	  1	  1.2426e-05	  23.8	  nan	  8.3789	  20	  nan	  3	  0.37906	  0.0097	  10.637	  1.2e-06	  0.43803	  0.005	  13117	  nan	  0	  1612.3	  96	  nan	  nan	  500	  2.568e+18	  0.0135	  19.329	  1100	 
